id,name,prep_time,cook_time,cal,main,ing_name,ing_q
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,truffle flavoured extra virgin olive oil,8
,Chilli Chicken Cashew Noodles,,10,,,sriracha hot chilli sauce ,8
,"One-Pot Chicken, Mushroom & Sweetcorn Noodles",,35,,,sriracha hot chilli sauce,8
,"One-Pot Spicy Chicken, Mushroom & Sweetcorn Noodles",,35,,,sriracha hot chilli sauce,8
,Crispy Chilli Beef Udon Broth,,10,,,sriracha hot chilli sauce,8
,Hawaiian-Style Huli Huli Grilled Chicken Poke,,40,,,sriracha hot chilli sauce,8
,One-Pot Thai Red Chicken Noodle Soup,,35,,,sriracha hot chilli sauce,8
,Mediterranean Fish Gyros,,10,,,soy sauce ,8
,Pak Choi & Baby Corn Black Bean Stir-Fry,,10,,,soy sauce ,8
,Beef Meatballs With Creamy Pappardelle,,25,,,soy sauce,8
,Creamy Garlic Mushroom Gnocchi,,10,,,soy sauce,8
,Miso Tofu With Stir-Fried Ginger Greens,,15,,,soy sauce,8
,One-Pot Minty Lamb & Potato Stew,,35,,,Marmite ,8
,3-Mushroom Stroganoff & Herby Walnut Rice,,30,,,white cup mushrooms,80
,One-Pot Baked Beef Stroganoff Tortiglioni,,30,,,white cup mushrooms,80
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,trimmed fine green beans,80
,One-Pot Thai Red Chicken Noodle Soup,,35,,,trimmed fine green beans,80
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,trimmed fine green beans,80
,Speedy Harissa & Tomato Haddock With Couscous,,15,,,trimmed fine green beans,80
,Chorizo & Tenderstem Fusilli,,10,,,Tenderstem broccoli,80
,Speedy Teriyaki Salmon Noodles,,15,,,Tenderstem broccoli,80
,Baked Spring Veg Casserole With Honey Chicken,,45,,,sugar snap peas,80
,Speedy Teriyaki Salmon Noodles,,15,,,sugar snap peas,80
,Sticky Teriyaki Mushroom Donburi Bowl,,30,,,sugar snap peas,80
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,shredded kale,80
,Baked Spicy Minced Lamb Stew With Yoghurt & Dill,,45,,,natural yoghurt,80
,Chicken Tikka Naan With Indian Salad And Minty Yoghurt,,10,,,natural yoghurt,80
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,natural yoghurt,80
,Harissa Chickpea & Apricot Tagine,,10,,,natural yoghurt,80
,Harissa Haddock Stew With Yoghurt,,10,,,natural yoghurt,80
,Mushroom Biryani With Cucumber Raita,,10,,,natural yoghurt,80
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,natural yoghurt,80
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,natural yoghurt,80
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,natural yoghurt,80
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,natural yoghurt,80
,Speedy Harissa & Tomato Haddock With Couscous,,15,,,natural yoghurt,80
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,natural yoghurt,80
,Easy Prawn Chow Mein,,10,,,mangetout,80
,Miso-Butter Chicken Noodles,,25,,,mangetout,80
,Sweet Chilli Turkey Noodles,,10,,,mangetout,80
,Baked Butternut Squash Biryani With Coconut Yoghurt,,25,,,coconut yoghurt,80
,Spicy Rainbow Veg & Black Bean Curry,,15,,,coconut yoghurt,80
,Smoky Chicken & Mushroom Linguine,,20,,,chestnut mushrooms ,80
,Oven-Baked Cheesy Portobello Mushroom Risotto,,35,,,chestnut mushrooms,80
,Pak Choi & Baby Corn Black Bean Stir-Fry,,10,,,chestnut mushrooms,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,chestnut mushrooms,80
,Cheesy Pepperoni Pasta Bake,,35,,,cheddar cheese,80
,10-Min Creamy Chorizo Gnocchi With Spinach,,10,,,baby leaf spinach,80
,Creamy Garlic Mushroom Gnocchi,,10,,,baby leaf spinach,80
,Creamy Haddock Florentine Spaghetti,,10,,,baby leaf spinach,80
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,baby leaf spinach,80
,Halloumi-Topped Tomatoey Smoked Beans  ,,15,,,baby leaf spinach,80
,Hearty Lamb RagÃ¹ Gnocchi Bake,,30,,,baby leaf spinach,80
,Lemony King Prawn Salad With Avo Dressing,,15,,,baby leaf spinach,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,baby leaf spinach,80
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,baby leaf spinach,80
,Scott & Wilson's Squash & Garlic Mushroom Gnocchi,,40,,,baby leaf spinach,80
,Smoked Fish & Spinach Pilau Rice,,10,,,baby leaf spinach,80
,Spicy 'Nduja Spaghetti Carbonara,,10,,,baby leaf spinach,80
,Spicy Halloumi Stew With Couscous,,10,,,baby leaf spinach,80
,Spicy Halloumi Stew With Sultana Couscous,,10,,,baby leaf spinach,80
,Spicy Rainbow Veg & Black Bean Curry,,15,,,baby leaf spinach,80
,3-Mushroom Stroganoff & Herby Walnut Rice,,30,,,baby button mushrooms,80
,Chestnut Mushroom Bolognese,,40,,,baby button mushrooms,80
,Chicken & Butter Bean Hotpot,,45,,,baby button mushrooms,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,baby button mushrooms,80
,Asparagus & Goats' Cheese Risotto,,35,,,soft goats' cheese,75
,Baked Ratatouille Fusilloni With Goats' Cheese,,35,,,soft goats' cheese,75
,Courgette & Goats' Cheese Linguine,,20,,,soft goats' cheese,75
,Seeded Goats' Cheese & Sweet Potato Salad,,30,,,soft goats' cheese,75
,Tomato & Goats' Cheese Gnocchi,,10,,,soft goats' cheese,75
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,soft goats' cheese,75
,Tangy Tomato & Goats' Cheese Linguine,,20,,,soft goats cheese,75
,One-Pot Smoky Spanish Fish Stew & Giant Couscous,,30,,,giant couscous,75
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,wheat berries,70
,Peruvian-Style Haddock & Sweet Potato Stew,,30,,,quinoa,70
,Oven-Baked Cheesy Portobello Mushroom Risotto,,35,,,grated Italian hard cheese,70
,"Halloumi, Couscous & Orange Salad",,10,,,white wine vinegar ,7
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,plain tortillas ,6
,Huevos Rancheros With Coriander Oil,,20,,,plain tortillas,6
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,plain tortillas,6
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,plain tortillas,6
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,plain tortillas,6
,Chinese Beef & Broccoli Stir-Fry,,10,,,toasted sesame seeds,5
,Crispy Chilli Beef Udon Broth,,10,,,toasted sesame seeds,5
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,toasted sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,toasted sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,toasted sesame seeds,5
,"One-Pot Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,"One-Pot Spicy Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,tarragon,5
,Garlic Mushroom & Sage Gnocchi,,10,,,sage,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,rosemary,5
,All-In-One Beef Stifado Orzo Stew,,40,,,parsley,5
,Jumbo Prawn Saganaki,,10,,,parsley,5
,King Prawn Paella With Lemon Aioli,,35,,,parsley,5
,Mediterranean Fish Gyros,,10,,,parsley,5
,Melty Greek Lamb Moussaka,,50,,,parsley,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,parsley,5
,One-Pot Spiced Lamb & Feta Orzo ,,40,,,parsley,5
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,parsley,5
,Smoky Chicken Goulash With Basmati Rice,,25,,,parsley,5
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,parsley,5
,All-In-One Lamb RagÃ¹ Pasta With Chilli & Mint,,50,,,mint,5
,Courgette & Goats' Cheese Linguine,,20,,,mint,5
,"One-Pot Creamy Haddock, Pea & Potato Casserole",,40,,,mint,5
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,mint,5
,Spicy Halloumi Stew With Couscous,,10,,,mint,5
,Spicy Halloumi Stew With Sultana Couscous,,10,,,mint,5
,Beef Meatballs With Creamy Pappardelle,,25,,,dill,5
,Easy One-Pot Haddock & Leek Risotto,,35,,,dill,5
,"Halloumi, Couscous & Orange Salad",,10,,,dill,5
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,dill,5
,Chilli Crab & Spring Green Noodles,,10,,,coriander ,5
,Crispy Chilli Beef Udon Broth,,10,,,coriander,5
,Peruvian-Style Haddock & Sweet Potato Stew,,30,,,coriander,5
,Peruvian-Style Prawn & Rice Chowder,,20,,,coriander,5
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,coriander,5
,Spicy Rainbow Veg & Black Bean Curry,,15,,,coriander,5
,Warming King Prawn Bhuna With Rice And Naan,,30,,,coriander,5
,Lighter 'Creamy' Mushroom & Bacon Linguine,,20,,,chives,5
,"One-Pot Haddock, Leek & Cheddar Chowder",,25,,,chives,5
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,chives,5
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,chives,5
,Honey & Garlic Pork Noodles With Smashed Cucumber,,10,,,black sesame seeds,5
,Miso Tofu With Stir-Fried Ginger Greens,,15,,,black sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,black sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,black sesame seeds,5
,Baked Ratatouille Fusilloni With Goats' Cheese,,35,,,basil,5
